"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-06","    9",",,N","0.19",",,N",,,,,,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-07",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-08",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-09",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-10",,,,,"0.27",",,N","0.3",",,N","0.3",",,N",,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-11",,,,,"0.49",",,N","5.5",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-12",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-13",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-14",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-15",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-16",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-17",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
"US1COJF0486","KEN CARYL 3.2 W, CO US","39.5813","-105.1706","1886.4","2019-10-18",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,
