STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/1/2021,17,",L,N",0.25,",L,N",0,",L,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/2/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/3/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/4/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/6/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/8/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/9/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/10/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/12/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/13/2021,,,,,0.23,",,N",,,,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/15/2021,,,,,0.02,",,N",,,,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/17/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/20/2021,,,,,0.12,",,N",,,,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/21/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/22/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/23/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,10/25/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0486,"KEN CARYL 3.2 W, CO US",39.5813,-105.1706,1886.4,11/21/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/5/2021,13,",,N",0.15,",,N",,,,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/6/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/8/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/9/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/10/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/13/2021,,,,,0.03,",,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/15/2021,,,,,0.01,",,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/17/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/20/2021,,,,,0.02,",,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/21/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/22/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/23/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/25/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/26/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/27/2021,,,,,0.01,",,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/28/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/29/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/30/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,10/31/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/1/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/2/2021,,,,,0,"T,,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/3/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/4/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/6/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/8/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/9/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/10/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/12/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/13/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/15/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/17/2021,,,,,0,"T,,N",,,,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/20/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/21/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/22/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/23/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/25/2021,,,,,0.02,",,N",0.2,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/26/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/27/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/28/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0001,"DENVER 11.0 SSW, CO US",39.5884,-105.075,1692.9,11/29/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/1/2021,,,,,0.02,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/2/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/3/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/4/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/6/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/8/2021,,,,,0,"T,,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/9/2021,,,,,0,"T,,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/10/2021,,,,,0,"T,,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/12/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/13/2021,,,,,0.12,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/15/2021,,,,,0.04,",,N",0.8,",,N",0,"T,,N",,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/17/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/20/2021,,,,,0.02,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/21/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/22/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/23/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/25/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/26/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/27/2021,,,,,0,"T,,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/28/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/29/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/30/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,10/31/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/1/2021,,,,,0,"T,,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/2/2021,,,,,0.03,",,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/3/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/4/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/6/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/8/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/9/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/10/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/12/2021,,,,,0,"T,,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/13/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/15/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/17/2021,,,,,0,"T,,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/20/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/21/2021,,,,,0,"T,,N",0,"T,,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/22/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/23/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0484,"EVERGREEN 1.8 N, CO US",39.659976,-105.3404,2287.5,11/25/2021,,,,,0.07,",,N",1,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/1/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/4/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/7/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/8/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/9/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/10/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/11/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/13/2021,,,,,0.09,",,N",,,,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/14/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/15/2021,,,,,0.01,",,N",,,,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/16/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/18/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/19/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/24/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/25/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/27/2021,,,,,0.07,",,N",,,,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/28/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/29/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,10/30/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,11/1/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,11/2/2021,,,,,0.01,",,N",,,,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,11/3/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COJF0489,"LITTLETON 5.7 WSW, CO US",39.569927,-105.117299,1761.4,11/5/2021,,,,,0,",,N",0,",,N",,,,,,,,,,
